Company,Ratings,Reviews,Industry,Location,Salary,Jobs,Benefits
TCS,3.4,1.1L,IT Services & Consulting,Bangalore / Bengaluru,937500.0,1.4k,10.6k
Accenture,3.7,69.6k,IT Services & Consulting,Bangalore / Bengaluru,1020249.0,38.9k,6.7k
Wipro,3.6,61.9k,IT Services & Consulting,Hyderabad / Secunderabad,1064999.0,4.9k,4.6k
Cognizant,3.7,58.9k,IT Services & Consulting,Hyderabad / Secunderabad,1110250.0,821,5.5k
Capgemini,3.7,50.5k,IT Services & Consulting,Bangalore / Bengaluru,1105000.0,2.1k,3.6k
HDFC Bank,3.8,49.2k,Banking,Mumbai,946500.0,182,3.2k
Infosys,3.5,46.3k,IT Services & Consulting,Bangalore / Bengaluru,1108750.0,2.3k,4.8k
ICICI Bank,4.0,44.4k,Banking,Mumbai,901750.0,25,3.7k
HCLTech,3.4,43.5k,IT Services & Consulting,Chennai,,320,3.8k
Tech Mahindra,3.4,41.6k,IT Services & Consulting,Hyderabad / Secunderabad,922749.0,466,3.4k
Genpact,3.6,39.9k,IT Services & Consulting,Hyderabad / Secunderabad,1272750.0,300,3.5k
Teleperformance,3.8,35.7k,BPO,Mumbai,369749.0,1.2k,1.8k
Axis Bank,3.6,31.6k,Banking,Mumbai,1051000.0,,2.1k
Concentrix Corporation,3.6,30.9k,BPO,Bangalore / Bengaluru,414250.0,89,3.1k
Jio,4.3,30.9k,Telecom,Mumbai,1222750.0,36,2.5k
Amazon,3.9,,Internet,Bangalore / Bengaluru,1351000.0,1.2k,4.1k
iEnergizer,4.6,27.2k,BPO,Noida,408499.0,55,430
Reliance Retail,3.9,26.5k,Retail,Mumbai,682500.0,53,1.9k
IBM,3.9,,IT Services & Consulting,Bangalore / Bengaluru,1668499.0,2.5k,2.6k
LTIMindtree,3.6,24.6k,IT Services & Consulting,Bangalore / Bengaluru,1301000.0,452,775
HDB Financial Services,3.9,24.5k,NBFC,Mumbai,286750.0,206,1.5k
Larsen & Toubro Limited,3.9,22.7k,Engineering & Construction,Chennai,,875,2.8k
Deloitte,3.7,21.9k,Management Consulting,Hyderabad / Secunderabad,1589750.0,1.6k,2.4k
Kotak Mahindra Bank,3.6,21.3k,Banking,Mumbai,1002999.0,1.4k,1.3k
Reliance Industries,4.0,19.4k,Oil & Gas,Jamnagar,1286750.0,66,1.8k
Vodafone Idea,3.9,17.2k,Telecom,Pune,1114250.0,24,
BYJU,3.2,16.6k,EdTech,Bangalore / Bengaluru,,,1.7k
